,Title,Published_date,Views,Likes,Comments,Month
162,Data Analyst Reacts: How to Go From Data Analyst to Data Scientist,2021-04-06,23922,872,84,Apr
163,Laptops for Data Analysts |  Specifications + Recommendations,2021-03-30,156033,3623,296,Mar
164,Best Machine Learning Courses on Coursera,2021-03-23,45056,1485,78,Mar
165,Will Data Analysts Be Automated? | Alex The Analyst | Episode 18,2021-03-18,16082,475,122,Mar
166,Advanced SQL Tutorial | Stored Procedures + Use Cases,2021-03-16,266732,5289,147,Mar
167,Google Data Analytics Professional Certificate | It's Finally Here!,2021-03-12,349150,10935,1169,Mar
168,Google Data Analytics Certificate | Coming Out Soon!,2021-03-04,51628,2387,328,Mar
169,Reviewing Your Data Analyst Resumes | Part 2,2021-03-02,20593,524,77,Mar
170,Best Course to Learn Statistics for Data Analysis,2021-02-25,76980,2241,85,Feb
171,DataQuest Review | Is it Worth it?,2021-02-23,20977,386,45,Feb
172,R vs Python | Which is Better for Data Analysis?,2021-02-16,199796,4601,376,Feb
173,Advanced SQL Tutorial | String Functions + Use Cases,2021-02-04,116478,3172,122,Feb
174,Advanced SQL Tutorial | Temp Tables,2021-02-02,173194,4164,113,Feb
175,IBM Data Analyst Certificate Study Session,2021-01-30,5129,175,22,Jan
176,IBM Data Analyst Professional Certificate by Coursera | Is it Worth it?,2021-01-26,100962,2734,291,Jan
177,DataCamp Review | Is it Worth it?,2021-01-21,141686,3153,248,Jan
178,Best Python Course for Data Analysts,2021-01-19,45103,1284,112,Jan
179,Top 5 Data Analyst Skills,2021-01-12,23955,1157,167,Jan
180,Best Industries for Data Analysts in 2021 | Alex The Analyst Show | Episode 17,2021-01-07,14252,470,147,Jan
181,Top 5 Data Analyst Interview Mistakes,2021-01-05,51299,1434,63,Jan
182,2020 Year End Review + Upcoming Giveaway Details,2020-12-31,1543,140,101,Dec
183,Data Analyst Resume | Everything You Need to Know | Alex The Analyst Show | Episode 16,2020-12-24,40180,1168,139,Dec
184,Solving Medium Level SQL LeetCode Questions | Part 2/3,2020-12-22,10042,225,32,Dec
185,Entry vs Mid vs Senior Level Data Analyst | Alex The Analyst Show | Episode 15,2020-12-17,44350,1492,207,Dec
186,Data Engineer vs Data Analyst | Which Is Right For You?,2020-12-15,72631,2490,139,Dec
187,How to Find Out Your Coworkers Salary | Alex The Analyst Show | Episode 14,2020-12-10,2567,93,54,Dec
188,Advanced SQL Tutorial | CTE (Common Table Expression),2020-12-08,232172,3997,158,Dec
189,"Data Analyst Salary (Expectations, Bonuses, 401K, ESPP) | Alex The Analyst Show | Episode 13",2020-12-03,22563,736,194,Dec
190,Intermediate SQL Tutorial | Partition By,2020-12-01,178861,4678,172,Dec
191,Data Analyst Q/A LIVE #5 | AMA,2020-11-28,4778,131,18,Nov
192,Completely REALISTIC Jobs on LinkedIn | Alex The Analyst Show | Episode 12,2020-11-25,23892,864,160,Nov
